Car Model,Efficiency (Wh/km),Range (km),Battery (kWh),Price (GBP),Availability
Tesla Model Y Long Range RWD,160.0,470.0,75.0,48990.0,Discontinued
Mini Cooper SE,149.0,330.0,49.2,29105.0,Available
Skoda Elroq 60,169.0,350.0,59.0,32470.0,Discontinued
Zeekr 7GT Privilege AWD,183.0,530.0,97.0,,Available
Peugeot e-3008 97 kWh Long Range,194.0,500.0,96.9,48660.0,Available
Mercedes-Benz CLA 350 4MATIC,148.0,575.0,85.0,51800.0,Available
Renault 5 E-Tech 52kWh 150hp,151.0,345.0,52.0,,Available
MG MG4 Electric 51 kWh,169.0,300.0,50.8,27245.0,Discontinued
firefly firefly,172.0,240.0,41.2,,Available
Volkswagen ID. Cross 155 kW - 52 kWh,164.0,315.0,51.7,34000.0,Available
Leapmotor B05 56.2 kWh,172.0,320.0,55.0,,Available
Subaru E-Outback AWD,192.0,370.0,71.0,,Available
Mercedes-Benz VLE 300,221.0,520.0,115.0,,Available
Nissan Ariya 87kWh,193.0,450.0,87.0,35500.0,Discontinued
Hyundai IONIQ 3 42.2 kWh,155.0,265.0,41.0,22245.0,Available
Hyundai IONIQ Electric,147.0,190.0,28.0,27250.0,Discontinued
Tesla Model 3 Long Range AWD,155.0,465.0,72.0,49990.0,Discontinued
MG IM5 Long Range,182.0,530.0,96.5,44995.0,Available
Lynk&Co 02,175.0,355.0,62.0,,Available
Honda Super-N,151.0,185.0,28.0,18995.0,Available
Audi A6 Avant e-tron performance,165.0,575.0,94.9,71740.0,Available
XPENG G6 AWD Performance,182.0,440.0,80.0,49990.0,Available
Audi Q4 e-tron 45,183.0,420.0,77.0,51360.0,Discontinued
Zeekr 7GT Core RWD,168.0,435.0,73.0,,Available
Porsche Cayenne Electric,208.0,520.0,108.0,83200.0,Available
